position,name,left,width,top,height,light,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T14D5,cloth,2237,290,2750,290,130.3645006,2382.0,2895.0,0.24999868394418767,0.3502872433991312,0.24639709719091848,0.27199154358640776,0.3209543329736704,0.28409002829937446,0.3101258934547214,0.3659534703144271,0.32392063623085154,0.0,128.0,128.0
T15A1,cloth,2636,290,1582,290,165.2014084,2781.0,1727.0,0.27131649022252186,0.3925326074204285,0.27870008863339,0.3042675833261631,0.3595747815301864,0.3100082792433573,0.3124376260052162,0.3692299057445319,0.3183324682502519,0.0,128.0,128.0
T15A2,cloth,2636,290,1873,290,165.4729994,2781.0,2018.0,0.26636040174550485,0.39187733933351576,0.27213837897823817,0.3004325917624095,0.3573529616090931,0.3050935218915682,0.31201487235593683,0.37112963692918527,0.31685549071487795,0.0,128.0,128.0
T15A3,cloth,2632,290,2166,290,161.6255042,2777.0,2311.0,0.2557191773485744,0.3740249228048719,0.25516017699697363,0.28512615028973515,0.3402069328303273,0.2925250026279775,0.31064295746478254,0.3706530869127377,0.31870395562247966,0.0,128.0,128.0
T15A4,cloth,2631,290,2455,290,150.9350112,2776.0,2600.0,0.25204690301372384,0.374555464155431,0.25510259277830566,0.28462949221693357,0.34030905764147446,0.28909734822837474,0.311398592563713,0.37231476176569595,0.31628664567059106,0.0,128.0,128.0
T15B1,cloth,2927,290,1577,290,166.3338028,3072.0,1722.0,0.25637841774711395,0.3791695393317512,0.26073030213449533,0.2893821276545953,0.34511831199980564,0.29387237085706336,0.3117089647370945,0.3717453894515406,0.31654564581136485,0.0,128.0,128.0
T15B2,cloth,2925,290,1863,290,166.0557218,3070.0,2008.0,0.2727410484021638,0.397361223150239,0.278014485750005,0.30596844332665596,0.3629849850254727,0.31192431971064,0.3119333106811149,0.3700613921993513,0.31800529711953385,0.0,128.0,128.0
T15B3,cloth,2919,290,2162,290,161.4823864,3064.0,2307.0,0.2470719996696002,0.37168663538780516,0.25183509363113193,0.28135830755723645,0.33720343626864446,0.28396456224311795,0.3117452706533369,0.37362172603849286,0.3146330033081702,0.0,128.0,128.0
T15B4,cloth,2920,290,2456,290,149.4492838,3065.0,2601.0,0.25263519570198567,0.37848871181301175,0.25897841466696087,0.28774068517983964,0.34398867066265726,0.2902001515896454,0.3121070351477155,0.37311819167256255,0.31477477317972197,0.0,128.0,128.0
T15B5,cloth,2925,290,2746,290,128.5328745,3070.0,2891.0,0.23879493723370476,0.35125411527843853,0.23542637889107204,0.26579075483976866,0.3185039886305347,0.27334619848754205,0.30990912611169713,0.3713721827498642,0.31871869113843854,0.0,128.0,128.0
T15C1,cloth,3224,290,1584,290,168.9947183,3369.0,1729.0,0.2574368406560538,0.3827459700691958,0.2606960438014113,0.29083782292450894,0.34774511016424337,0.2953038140722343,0.31142729437874045,0.372363256274262,0.3162094493469976,0.0,128.0,128.0
T15C2,cloth,3225,290,1870,290,167.512464,3370.0,2015.0,0.25445280637645507,0.3839112036937765,0.2609637413691928,0.2908264645093461,0.3484199888983093,0.2926121362259778,0.31209291596881306,0.3738979205367341,0.3140091634944529,0.0,128.0,128.0
T15C3,cloth,3222,290,2166,290,161.7786732,3367.0,2311.0,0.25649404112654134,0.3825174861778938,0.25840331889797047,0.28964035709577435,0.34702606239655465,0.29433630704787783,0.3111058097242487,0.3727444104123875,0.31614977986336373,0.0,128.0,128.0
T15C4,cloth,3219,290,2458,290,148.2398007,3364.0,2603.0,0.2537848844440045,0.3719853125541154,0.25208141521185,0.2827779604324316,0.3379539242847175,0.2903842064526782,0.3103643577069953,0.3709230114142772,0.31871263087872753,0.0,128.0,128.0
T15C5,cloth,3221,290,2754,290,127.075,3366.0,2899.0,0.23311751293607277,0.34645075067667874,0.23197379401319534,0.2616247254824659,0.3139248125310283,0.2673116443356794,0.31040072904209526,0.3724513823926205,0.3171478885652842,0.0,128.0,128.0
T15D1,cloth,3518,290,1579,290,171.6292254,3663.0,1724.0,0.2566414120243867,0.385911829607712,0.26504807086671334,0.2936213548937699,0.3508773297334699,0.2950094017684963,0.31252669258036786,0.3734691960763759,0.31400411134325623,0.0,128.0,128.0
T15D2,cloth,3510,290,1875,290,169.1432858,3655.0,2020.0,0.25368306756676656,0.385431553179999,0.255056681256236,0.2887948106540197,0.34819544267486396,0.29194765726564564,0.31088709736174747,0.3748317715357483,0.3142811311025043,0.0,128.0,128.0
T15D3,cloth,3508,290,2166,290,161.978045,3653.0,2311.0,0.25982740676630234,0.3806676818741566,0.25819434191030644,0.2894941815536904,0.3458993127022175,0.297279495867389,0.3103919429632245,0.3708688000673104,0.3187392569694652,0.0,128.0,128.0
T15D4,cloth,3508,290,2454,290,148.0448863,3653.0,2599.0,0.2427138315750101,0.3632980005981464,0.24269794543297696,0.27380368003718086,0.328946511056565,0.27864646236694246,0.31064751489823184,0.3732105287273326,0.3161419563744356,0.0,128.0,128.0
T15D5,cloth,3511,290,2745,290,127.4415653,3656.0,2890.0,0.2213009580649911,0.33359858702480655,0.2190519881704766,0.2495672677883301,0.30113258165100354,0.254300619801839,0.3100212699547651,0.37407752312848197,0.3159012069167531,0.0,128.0,128.0
